task,decision_prompt,answer_type,answer
"In a complete ternary tree with 144 nodes, if a node is randomly selected from the second last level, what is the probability that this node is a leaf node? (Please express it as a simplified fraction)
Options:
A. 0.921234568
B. All other answers are incorrect
C. 0.911234568
D. 0.881234568
E. 0.891234568
F. 0.901234568","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"In the undirected graph G=(V,E) where V={1,2,3,4,5,6,7} and E={(1,2), (1,3), (2,3), (4,5), (3,6), (4,7), (5,7)}, how many different spanning forests does the graph G contain? Note: If the edge sets of two spanning forests are different, they are considered different spanning forests.
Options:
A. 14
B. All other answers are incorrect
C. 9
D. 10
E. 12
F. 11","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"From the set $\{1, 2, 3, \ldots, 1000 \}$, how many ways are there to choose 25 numbers such that there is at least 1 number between any two chosen numbers? (For example, there is 1 number between 1 and 3.)
Options:
A. C(1000-25+1,25)
B. C(975,25)
C. C(974,25)
D. C(976,25)
E. C(973,25)
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"Given that stack S and queue Q are initially empty, and elements e1, e2, e3, e4, e5, e6 pass through stack S in sequence, with each element dequeued from the stack then enqueued into queue Q. If the dequeue sequence of the 6 elements is e2, e4, e3, e6, e5, e1, what is the minimum capacity of stack S?
Options:
A. 7
B. 5
C. 2
D. 4
E. All other answers are incorrect
F. 3","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"There are 13 initial merge segments with lengths of 28, 16, 37, 42, 5, 9, 13, 14, 20, 17, 30, 12, and 18. Try to calculate the weighted path length WPL of the optimal 4-way merge tree
Options:
A. 490
B. 480
C. 460
D. 495
E. 472
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"What is the lowerbound of the search path length (number of times a B-tree index block is accessed from root to leaf node) of a 16th order B-tree with 10,000 keys?
Options:
A. 4
B. 2
C. 3
D. 6
E. All other answers are incorrect
F. 5","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"For a graph containing N (N > 1) vertices, assuming there is at most one edge between any two points, which of the following situations is incorrect?
Options:
A. If it is a directed graph, then it has at least one maximal strongly connected subgraph that can be topologically sorted. If it is an undirected connected graph, then its minimum spanning tree does not include the edge with the second largest weight.
B. If it is a directed graph, then any of its maximal strongly connected subgraphs cannot be topologically sorted. If it is an undirected connected graph, then its minimum spanning tree must not include the edge with the largest weight.
C. If it is a directed graph, then no maximal strongly connected subgraph can be topologically sorted. If it is an undirected connected graph, its minimum spanning tree may not include the second heaviest edge.
D. If it is a directed graph, then any of its maximal strongly connected subgraphs cannot be topologically sorted. The minimum spanning tree of an undirected connected graph may not include edges of secondary weight.
E. All other answers are incorrect
F. If it is a directed graph, then all its maximal strongly connected subgraphs can be topologically sorted. If it is an undirected connected graph, its minimum spanning tree must contain the edge with the largest weight.","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"In an empty AVL tree, sequentially insert the following keys: $\{5,9,4,2,1,3,8\}$. After all insertions, what is the average search length for a successful search assuming equal probability
Options:
A. 2.438571429
B. All other answers are incorrect
C. 2.528571429
D. 2.338571429
E. 2.518571429
F. 2.428571429","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"In a leftist heap with 2015 nodes, the minimum size of the left subheap is ().
Options:
A. 10
B. 1007
C. 11
D. All other answers are incorrect
E. 1000
F. 1008","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,"E

F"
"Consider an ordered sequential list with elements in the order $017,094,154,170,275,503,509,512,553,612,677,765,897,908$. When performing binary search on this list, what are the average search lengths for a successful search and for an unsuccessful search respectively, under equal probability?
Options:
A. 45/13，59/17
B. 46/14，58/15
C. All other answers are incorrect
D. 44/14，60/15
E. 43/14，59/16
F. 45/14，59/15","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"Given that the elements in an ordered sequence table are 017, 094, 154, 170, 275, 503, 509, 512, 553, 612, 677, 765, 897, 908 in order, what are the average search lengths for a successful search and an unsuccessful search, respectively, when a binary search is conducted with equal probability?
Options:
A. All other answers are incorrect
B. 57
C. 60
D. 59
E. 58
F. 56","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"Assuming the input file contains the record key codes: 14, 22, 7, 24, 15, 16, 11, 100, 10, 9, 20, 12, 90, 17, 13, 18, 26, 38, 30, 25, 50, 28, 110, 21, 40, using a loser tree with 8 external nodes to generate the initial sorted sequence of the file, please provide the first generated sorted sequence.
Options:
A. 7, 10, 11, 14, 15, 16, 17, 19, 22, 24, 26, 30, 38, 50, 90, 100, 110
B. All other answers are incorrect
C. 7, 9, 11, 14, 15, 16, 17, 18, 22, 24, 26, 30, 38, 50, 90, 100, 110
D. 7, 10, 11, 14, 15, 18, 17, 20, 22, 24, 26, 30, 38, 50, 90, 100, 110
E. 7, 10, 11, 14, 15, 16, 17, 20, 22, 24, 26, 30, 38, 50, 90, 100, 110
F. 7, 10, 11, 14, 15, 16, 12, 20, 22, 24, 26, 28, 38, 50, 90, 100, 110","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"At $23^{\circ} \mathrm{C}$ and 106.658 kPa, 100 ml of oxygen is collected using the water displacement method. Calculate the volume of this oxygen at standard conditions after drying. (The saturated vapor pressure of water at $23^{\circ} \mathrm{C}$  is 2.813 kPa.)
Options:
A. 94.52ml
B. 93.68ml
C. 95.12ml
D. 92.45ml
E. All other answers are incorrect
F. 96.47ml","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"At $57^{\circ} \mathrm{C}$ , using the water displacement method to collect air in a bottle with a piston at a pressure of $1.00 \times 10^{5} \mathrm{~Pa}$ , the volume of the moist air is $1.0 \mathrm{dm}^{3}$. If the temperature remains constant and the pressure drops to $5.0 \times 10^{4} \mathrm{~Pa}$, what will the volume of the gas become?
Options:
A. 2.2\mathrm{dm}^{3}
B. All other answers are incorrect
C. 1.8\mathrm{dm}^{3}
D. 2.0\mathrm{dm}^{3}
E. 2.1\mathrm{dm}^{3}
F. 1.9\mathrm{dm}^{3}","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"Burning 1.000 g of industrial fuel produces $40.2 \mathrm{~cm}^{3} \mathrm{SO}_{2}$ gas $\left(27^{\circ} \mathrm{C}, 100kPa)\right.$. Calculate the mass fraction of sulfur in the industrial fuel. (Atomic weight: S 32.0)
Options:
A. 0.0725
B. 0.0515
C. 0.0285
D. 0.0345
E. 0.0435
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"The distribution coefficient of $\mathrm{HgCl}_{2}$  between $\mathrm{H}_{2} \mathrm{O}$ and $\mathrm{C}_{6} \mathrm{H}_{6}$  is $K_{c}=12$. If the extraction is done twice, each time using $200 \mathrm{~cm}^{3}$ of $\mathrm{H}_{2} \mathrm{O}$, what is the maximum amount of $\mathrm{HgCl}_{2}$ (in grams) that can be extracted from a benzene solution of $600 \mathrm{~cm}^{3}$ containing 0.2 g of $\mathrm{HgCl}_{2}$?
Options:
A. All other answers are incorrect
B. 0.185g
C. 0.175g
D. 0.192g
E. 0.200g
F. 0.180g","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"A 1.00 L vacuum flask contains $2.69 \mathrm{~g} \mathrm{PCl}_{5}$. At $250^{\circ} \mathrm{C}$, the $\mathrm{PCl}_{5}$ is completely vaporized and partially decomposed, with a total pressure of 100 kPa. Calculate the partial pressure of $\mathrm{PCl}_{5}$. (Given the molecular weight of $\mathrm{PCl}_{5}$ is 208.)
Options:
A. 11.0kPa
B. 13.5kPa
C. 12.2kPa
D. 14.3kPa
E. 15.1kPa
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"The state equation of a certain gas is given by $p V_m=R T+\alpha p$ , and the molar heat capacity at constant pressure is $\mathrm{C}_{\mathrm{p}, \mathrm{m}}=\mathrm{a}+\mathrm{bT}+\mathrm{cT}^2$, where $\alpha$, a, b, c are constants. If the gas undergoes an adiabatic throttling expansion, where the state changes from $\mathrm{T}_1$、$\mathrm{p}_1$ to $\mathrm{T}_2$、$\mathrm{p}_2$, determine the final pressure, where $\mathrm{T}_1$、$\mathrm{p}_1$、$\mathrm{T}_2$ are known.
Options:
A. All other answers are incorrect
B. -50.5 $\mathrm{kJ}\cdot\mathrm{mol}^{-1}$
C. -200.5 $\mathrm{kJ}\cdot\mathrm{mol}^{-1}$
D. -150.5 $\mathrm{kJ}\cdot\mathrm{mol}^{-1}$
E. -104.0 $\mathrm{kJ}\cdot\mathrm{mol}^{-1}$
F. ""-104.5 $\mathrm{kJ}\cdot\mathrm{mol}^{-1}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"Air at $20^{\circ} \mathrm{C}$, $101.325 \mathrm{kPa}$ with a volume of $20 \mathrm{dm}^{3}$ is slowly passed through a saturator containing liquid bromobenzene at $30^{\circ} \mathrm{C}$, resulting in a loss of 0.95 g of bromobenzene. Calculate the saturated vapor pressure of bromobenzene at $30^{\circ} \mathrm{C}$. (Assume that the air is saturated with bromobenzene vapor after passing through the bromobenzene; the pressure difference before and after the saturator is negligible; the molar mass of bromobenzene is 157.0.)
Options:
A. All other answers are incorrect
B. 0.800kPa
C. 0.700kPa
D. 0.620kPa
E. 0.732kPa
F. 0.780kPa","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"What is the degree of freedom of the following equilibrium systems? (1) $\mathrm{I}_{2}(\mathrm{s})$ is in equilibrium with $\mathrm{I}_{2}(\mathrm{g})$; (2) In a system initially composed of an arbitrary amount of $\mathrm{HCl}(\mathrm{g})$ and $\mathrm{NH}_{3}(\mathrm{g})$, the reaction $\mathrm{HCl}(\mathrm{g})+\mathrm{NH}_{3}(\mathrm{g})=\mathrm{NH}_{4} \mathrm{Cl}(\mathrm{s})$ reaches equilibrium.
Options:
A. All other answers are incorrect
B. (1) 2, (2) 1
C. (1) 1, (2) 3
D. (1) 1, (2) 2
E. (1) 1, (2) 1
F. (1) 2, (2) 3","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"The basic reactions for water gas production are: C(s) + H2O(g) = CO(g) + H2(g), CO(g) + H2O(g) = CO2(g) + H2(g). Given the relevant thermodynamic data: $
\begin{array}{|c|c|c|c|}
\hline
\text{Compound} & \mathrm{CO}(\mathrm{g}) & \mathrm{CO}_2(\mathrm{g}) & \mathrm{H}_2\mathrm{O}(\mathrm{g}) \\
\hline
\Delta_f H_m^\ominus / \mathrm{kJ} \cdot \mathrm{mol}^{-1} & -110.5 & -393.5 & -241.8 \\
\hline
\end{array}
$.
If 95% of C is converted to CO, and 5% is converted to CO2, what is the heat generated by burning 1 dm3 of this water gas? (All combustion products are gases).
Options:
A. 9.96kJ
B. 12.46kJ
C. 10.46kJ
D. 10.94kJ
E. All other answers are incorrect
F. 11.46kJ","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"In a flask with a volume of $0.50 \mathrm{dm}^{3}$ filled with a mixture of NO and $\mathrm{O}_{2}$ gas, the temperature is 298 K and the pressure is $1.23 \times 10^{5} \mathrm{~Pa}$. After some time has passed, the total pressure in the bottle becomes $8.3 \times 10^{4} \mathrm{~Pa}$. Calculate the mass of $\mathrm{NO}_{2}$ produced.
Options:
A. 0.721g
B. 0.768g
C. 0.752g
D. All other answers are incorrect
E. 0.736g
F. 0.700g","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"The two energy levels of molecule X are $\varepsilon_{1}=6.1 \times 10^{-21} \mathrm{~J}, \varepsilon_{2}=8.4 \times 10^{-21} \mathrm{~J}$, with corresponding degeneracies $g_{1}=3, g_{2}=5$. Find the ratio of the number of particles in the two energy levels in a system composed of molecule X at temperatures of 300 K and 3000 K.
Options:
A. 1.02，0.628
B. 1.06，0.636
C. 1.05，0.634
D. 1.03，0.630
E. 1.07，0.642
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"There are three $1 \mathrm{dm}^{3}$ flasks all at a temperature of $27^{\circ} \mathrm{C}$. The three flasks are connected by pipes with stopcocks installed. Initially, the stopcocks are closed. It is known that the first flask contains 1 g of water, the second flask is filled with $\mathrm{O}_{2}$ at 101 kPa, and the third flask contains $1 \mathrm{~g} \mathrm{~N}_{2}$. Assuming the temperature remains unchanged and the vapor pressure of water at this time is 3.84 kPa, what is the pressure of the system after opening all the connecting stopcocks and reaching equilibrium?
Options:
A. 67.20kPa
B. 66.15kPa
C. 65.10kPa
D. All other answers are incorrect
E. 64.05kPa
F. 68.25kPa","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"Given that at $37^{\circ} \mathrm{C}$, the vapor pressure of liquid A is $7.78 \mathrm{kPa}$, and that of B is $9.81 \mathrm{kPa}$. If 0.20 mol of gas A and 0.50 mol of gas B are injected into a sealed vacuum container with a volume of $100 \mathrm{dm}^{3}$, and the temperature remains unchanged, what will the total pressure be in the container after equilibrium is reached (the vapor of each liquid is completely insoluble in the other liquid)?
Options:
A. 15.87kPa
B. 13.87kPa
C. 12.87kPa
D. 11.87kPa
E. All other answers are incorrect
F. 14.27kPa","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"In a container of unknown volume, a certain gas has a pressure of 86.660 kPa. A certain amount of gas is extracted from it. The extracted gas occupies a volume of 1.52 ml at a pressure of 101.325 kPa, and the pressure of the gas remaining in the container drops to 79.993 kPa. Assuming the above data is measured at the same temperature, find the volume of the container.
Options:
A. 25.9ml
B. All other answers are incorrect
C. 24.5ml
D. 23.1ml
E. 20.7ml
F. 22.3ml","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"Given the following experimental data:\n(1) The ionization energies of Mg are $I_{1}=738 \mathrm{~kJ} \cdot \mathrm{~mol}^{-1}, I_{2}=1451 \mathrm{~kJ} \cdot \mathrm{~mol}^{-1}$;\n(2) The heat of hydration of $\mathrm{Mg}^{2+}(\mathrm{g})$ is $\Delta \mathrm{hyd} \mathrm{H}_{m}{ }^{\ominus}=-1921 \mathrm{~kJ} \cdot \mathrm{~mol}^{-1}$;\n(3) The heat of sublimation of $\mathrm{Mg}(\mathrm{s})$ is $\Delta \mathrm{sub} \mathrm{H}_{m}{ }^{\ominus}=146.4 \mathrm{~kJ} \cdot \mathrm{~mol}^{-1}$;\n(4) The standard electrode potential $\varphi^{\ominus}\left(\mathrm{Mg}^{2+} / \mathrm{Mg}\right)=-2.36 \mathrm{v}$.Calculate the $\Delta \mathrm{rS}_{m}{ }^{\ominus}$ for the process $\mathrm{Mg}(\mathrm{s}) \rightarrow \mathrm{Mg}^{2+}(\mathrm{aq})+2 \mathrm{e}^{-}$, in $\mathrm{~J} \cdot \mathrm{~mol}^{-1} \cdot \mathrm{~K}^{-1}$.
Options:
A. All other answers are incorrect
B. -131.7 \mathrm{~J} \cdot \mathrm{mol}^{-1} \cdot \mathrm{K}^{-1}
C. -140.5 \mathrm{~J} \cdot \mathrm{mol}^{-1} \cdot \mathrm{K}^{-1}
D. -145.2 \mathrm{~J} \cdot \mathrm{mol}^{-1} \cdot \mathrm{K}^{-1}
E. -137.9 \mathrm{~J} \cdot \mathrm{mol}^{-1} \cdot \mathrm{K}^{-1}
F. -138.3 \mathrm{~J} \cdot \mathrm{mol}^{-1} \cdot \mathrm{K}^{-1}","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"The main component of gasoline is octane $\left(\mathrm{C}_{8} \mathrm{H}_{18}\right)$. How many $\mathrm{dm}^{3}$ of air are required to burn 100 g of octane? (At $22.5^{\circ} \mathrm{C}$ and 101 kPa. The oxygen content in air by volume is $21\%$. The molar mass of octane is 114.)
Options:
A. 1.27×$10^{3}(dm^{3})$
B. 1.23×$10^{3}(dm^{3})$
C. 1.21×$10^{3}(dm^{3})$
D. 1.35×$10^{3}(dm^{3})$
E. All other answers are incorrect
F. 1.32×$10^{3}(dm^{3})$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"To purify toluene $\left(\mathrm{C}_{6} \mathrm{H}_{5} \mathrm{CH}_{3}\right)$ from a system containing non-volatile impurities, steam distillation is conducted at $0.849 \times 101325 \mathrm{~Pa}$. It is known that the azeotropic point of the water-toluene system at this pressure is $80^{\circ} \mathrm{C}$, and the saturated vapor pressure of water at $80^{\circ} \mathrm{C}$ is $0.467 \times 101325 \mathrm{~Pa}$. Try to determine: (1) The content of toluene in the vapor (mole fraction); (2) The amount of steam needed to distill 100 kg of toluene.
Options:
A. (1)0.450 (2)23.9kg
B. (1)0.460 (2)25.3kg
C. All other answers are incorrect
D. (1)0.420 (2)24.5kg
E. (1)0.440 (2)23.3kg
F. (1)0.470 (2)22.8kg","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"In a nitrogen tank, the temperature is $227^{\circ} \mathrm{C}$ and the pressure is 500 kPa. In a hydrogen tank, the temperature is $27^{\circ} \mathrm{C}$, but the pressure is unknown. The two tanks are connected by a plug valve. After opening the valve, the measured temperature of the gas mixture is 400 K and the total pressure is 400 kPa. What was the pressure of the hydrogen gas before mixing?
Options:
A. 300kPa
B. 400kPa
C. All other answers are incorrect
D. 250kPa
E. 350kPa
F. 280kPa","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"Under the conditions of $15.0^{\circ} \mathrm{C}$ and 101 kPa, 2.00 L of dry air is slowly passed into liquid $\mathrm{CS}_{2}$. The weight of the $\mathrm{CS}_{2}$ liquid before and after the air passage is measured, and it is found that the weight loss is 3.01 g. Calculate the saturated vapor pressure of the $\mathrm{CS}_{2}$ liquid at this temperature. (Atomic mass: $\mathrm{~C} \quad 12.0, \mathrm{~S} \quad 32.0$)
Options:
A. 30.9kPa
B. All other answers are incorrect
C. 34.2kPa
D. 32.3kPa
E. 31.5kPa
F. 33.8kPa","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"At $20^{\circ} \mathrm{C}$ and $99 \mathrm{kPa}$, how many grams of $\mathrm{KClO}_{3}$ are needed to be thermally decomposed (using $\mathrm{MnO}_{2}$ as a catalyst) in order to collect $1.5 \mathrm{dm}^{3}$ of oxygen using the water displacement method? (At $20^{\circ} \mathrm{C}$,  $ p ( \mathrm{H}_{2} \mathrm{O}) $ is $2.34 \mathrm{kPa} $, and the molar mass of $\mathrm{KClO}_{3}$ is $122.6$)
Options:
A. 6.1g
B. 3.7g
C. 4.9g
D. 5.8g
E. 5.2g
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"At $25^{\circ} \mathrm{C}$, the partition coefficient of $\mathrm{H}_{2} \mathrm{S}$ between $\mathrm{H}_{2} \mathrm{O}$ and $\mathrm{C}_{6} \mathrm{H}_{6}$ is $K_{c}=\left[\mathrm{H}_{2} \mathrm{~S}\right]_{\mathrm{H}_{2} \mathrm{O}} /\left[\mathrm{H}_{2} \mathrm{S}\right]_{\mathrm{c}_{6} \mathrm{H}_{6}}=0.167$. Calculate the minimum volume of $\mathrm{C}_{6} \mathrm{H}_{6}$ required to extract $90\%$ of $\mathrm{H}_{2} \mathrm{S}$ from a $1 \mathrm{dm}^{3} 0.1 \mathrm{~mol} \cdot \mathrm{dm}^{-3} \mathrm{H}_{2} \mathrm{S}$ aqueous solution at $25^{\circ} \mathrm{C}$ in a single extraction. If the extraction is done in three equal-volume portions of $\mathrm{C}_{6} \mathrm{H}_{6}$ to remove $90\%$ of $\mathrm{H}_{2} \mathrm{S}$, what total volume of benzene is required?
Options:
A. 1.503$dm^{3}$,0.579$dm^{3}$
B. 1.490$dm^{3}$,0.570$dm^{3}$
C. 1.520$dm^{3}$,0.600$dm^{3}$
D. 1.510$dm^{3}$,0.590$dm^{3}$
E. All other answers are incorrect
F. 1.480$dm^{3}$,0.560$dm^{3}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"At 298 K and standard state, $\mathrm{HgO}(\mathrm{s})$ is heated to decompose in an open container. If 22.71 kJ of heat is absorbed to produce 50.10 g of $\mathrm{Hg}(l)$. 1.find the $\Delta \mathrm{rH}_{m}^{\ominus}$ of the reaction. 2.If the reaction occurs in a closed container, producing the same amount of $\mathrm{Hg}(l)$, how much heat needs to be absorbed? (The atomic weight of Hg is 200.6)
Options:
A. 22.71 kJ
B. 23.00 kJ
C. All other answers are incorrect
D. 22.40 kJ
E. 20.40 kJ
F. 21.85 kJ","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"Given the following data:  (1) $\mathrm{Zn}(\mathrm{s})+\frac{1}{2} \mathrm{O}_{2}(\mathrm{g})=\mathrm{ZnO}$  (s) $\quad \Delta \mathrm{rH}_{m}{ }^{\ominus}=-348.0 \mathrm{~kJ} \cdot \mathrm{~mol}^{-1}$  (2) S (rhombic) $+\mathrm{O}_{2}(\mathrm{g})=\mathrm{SO}_{2}(\mathrm{~g})$  $\Delta \mathrm{rH}_{m}{ }^{\ominus}{ }_{2}=-296.9 \mathrm{~kJ} \cdot \mathrm{~mol}^{-1}$  (3) $\mathrm{SO}_{2}(\mathrm{g})+\frac{1}{2} \mathrm{O}_{2}(\mathrm{~g})=\mathrm{SO}_{3}(\mathrm{g})$  $\Delta \mathrm{rH}_{m}{ }^{\ominus}{ }_{3}=-98.3 \mathrm{~kJ} \cdot \mathrm{~mol}^{-1}$  (4) $\mathrm{ZnSO}_{4}(\mathrm{s})=\mathrm{ZnO}(\mathrm{s})+\mathrm{SO}_{3}(\mathrm{g})$  $\Delta \mathrm{rH}_{m}{ }^{\ominus}{ }_{4}=235.4 \mathrm{~kJ} \cdot \mathrm{~mol}^{-1}$. Calculate the standard molar enthalpy of formation of $\mathrm{ZnSO}_{4}(\mathrm{s})$.
Options:
A. -965.9$kJ·mol^{-1}$
B. -987.5$kJ·mol^{-1}$
C. -990.4$kJ·mol^{-1}$
D. All other answers are incorrect
E. -978.6$kJ·mol^{-1}$
F. -963.2$kJ·mol^{-1}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"The vapor pressure of chloroform at $40^{\circ} \mathrm{C}$ is 49.33 kPa. At this temperature and a pressure of 98.66 kPa, 4.00 liters of air is passed slowly through chloroform (i.e., each bubble is saturated with chloroform vapor). Find: What is the volume of the air and chloroform vapor mixture?
Options:
A. 9.00L
B. 8.00L
C. 8.20L
D. 8.50L
E. All other answers are incorrect
F. 7.90L","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"In clinical practice, intravenous injection of an aqueous solution of $\mathrm{H}_{2} \mathrm{O}_{2}$ is sometimes used to provide oxygen to rescue patients with respiratory ailments or those poisoned by harmful gases. If each injection consists of $300 \mathrm{~cm}^{3}$ of a $0.30 \%$ $\mathrm{H}_{2} \mathrm{O}_{2}$ aqueous solution, when fully decomposed, how many $\mathrm{dm}^{3}$ of air at $25^{\circ} \mathrm{C}$ and 101 kPa would this be equivalent to inhaling?
Options:
A. 1.4$dm^{3}$
B. 2.0$dm^{3}$
C. All other answers are incorrect
D. 1.8$dm^{3}$
E. 1.6$dm^{3}$
F. 1.2$dm^{3}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"The vapor pressure of aniline is 1.41 kPa at $70^{\circ} \mathrm{C}$ and 6.08 kPa at $100^{\circ} \mathrm{C}$. Roughly calculate to what pressure it should be reduced to distill aniline at $50^{\circ} \mathrm{C}$.
Options:
A. 0.50kPa
B. 0.42kPa
C. All other answers are incorrect
D. 0.52kPa
E. 0.40kPa
F. 0.46kPa","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
